,idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
0,56,1968-01-19,Pará,13550.54,Ensino Médio,0,Casado,Tecnologia
2,49,1975-01-31,Rio Grande do Norte,3124.72,Ensino Médio,3,Casado,Indústria
3,54,1969-08-26,Minas Gerais,7534.6,Ensino Médio,0,Casado,Tecnologia
4,61,1963-03-19,Amapá,4067.73,Ensino Fundamental,1,Solteiro,Comércio
5,30,1993-12-09,Alagoas,6809.94,Ensino Médio,1,Casado,Tecnologia
6,54,1969-06-24,Pará,9025.74,Ensino Médio,1,Solteiro,Indústria
7,28,1996-03-25,Tocantins,9493.67,Ensino Superior,1,Casado,Comércio
9,30,1993-06-20,Tocantins,4072.6,Ensino Médio,0,Solteiro,Educação
10,24,2000-02-21,Rio Grande do Norte,4039.96,Ensino Fundamental,1,Solteiro,Indústria
11,35,1988-08-02,Amazonas,3457.97,Ensino Fundamental,1,Viúvo,Indústria
13,29,1995-02-22,Rio Grande do Norte,3913.59,Ensino Médio,1,Casado,Educação
15,39,1984-12-08,Rio Grande do Sul,11956.86,Ensino Superior,1,Divorciado,Saúde
16,27,1996-11-08,São Paulo,4741.55,Ensino Fundamental,2,Casado,Tecnologia
17,28,1995-08-04,Santa Catarina,5750.38,Ensino Médio,1,Casado,Tecnologia
18,22,2001-07-26,Distrito Federal,3302.26,Ensino Médio,1,Solteiro,Indústria
19,31,1993-04-10,Pernambuco,6801.59,Ensino Médio,1,Casado,Saúde
21,46,1977-07-14,Distrito Federal,3452.93,Ensino Fundamental,1,Divorciado,Saúde
22,62,1961-06-30,São Paulo,7316.91,Ensino Superior,2,Solteiro,Indústria
23,23,2000-08-11,Paraíba,3076.23,Ensino Médio,0,Casado,Indústria
25,25,1998-11-08,Goiás,3268.8,Ensino Médio,0,Solteiro,Educação
26,49,1974-10-19,Bahia,10181.14,Ensino Superior,1,Casado,Comércio
27,61,1962-11-10,Alagoas,9928.59,Ensino Médio,0,Casado,Indústria
28,59,1965-04-05,Pernambuco,9808.35,Ensino Superior,4,Casado,Educação
29,50,1973-09-28,Sergipe,5225.2,Ensino Médio,1,Casado,Comércio
30,22,2001-10-02,Sergipe,3645.0,Ensino Superior,1,Casado,Educação
31,85,1939-04-10,Distrito Federal,2387.19,Ensino Fundamental,0,Casado,Tecnologia
32,46,1978-02-22,Alagoas,7664.25,Ensino Médio,1,Casado,Tecnologia
34,55,1968-05-29,Amazonas,3649.5,Ensino Médio,0,Casado,Comércio
35,55,1968-07-21,Amazonas,4405.56,Ensino Médio,2,Casado,Educação
36,42,1981-07-23,Piauí,4501.08,Ensino Médio,0,Casado,Saúde
37,21,2002-07-18,Amazonas,2386.33,Ensino Fundamental,0,Viúvo,Educação
38,18,2005-06-04,Mato Grosso do Sul,3485.57,Ensino Fundamental,1,Casado,Tecnologia
39,28,1996-01-23,Roraima,3441.77,Ensino Médio,0,Solteiro,Saúde
40,83,1940-10-17,Goiás,3432.61,Ensino Médio,1,Casado,Indústria
42,65,1958-07-30,Maranhão,7609.68,Ensino Fundamental,3,Casado,Indústria
43,23,2000-12-04,Rondônia,3468.81,Ensino Fundamental,1,Divorciado,Tecnologia
44,78,1945-10-12,Espírito Santo,5986.45,Ensino Médio,1,Solteiro,Comércio
45,22,2001-09-25,Rio Grande do Sul,5093.49,Ensino Médio,2,Solteiro,Indústria
46,39,1984-06-03,Paraná,3446.2,Ensino Médio,0,Casado,Indústria
47,54,1969-06-18,Pará,8094.16,Ensino Médio,4,Solteiro,Tecnologia
48,28,1995-07-11,Amazonas,5517.69,Ensino Médio,3,Casado,Indústria
49,24,1999-12-22,Bahia,3057.43,Ensino Fundamental,1,Solteiro,Indústria
50,49,1974-04-26,Goiás,4611.62,Ensino Médio,0,Casado,Comércio
51,30,1993-12-11,Rio Grande do Sul,6082.64,Ensino Médio,3,Solteiro,Indústria
52,47,1977-03-19,Distrito Federal,19730.97,Ensino Superior,2,Casado,Tecnologia
53,56,1967-09-12,Amazonas,4895.37,Ensino Médio,0,Casado,Tecnologia
54,22,2002-02-18,Amazonas,4746.11,Ensino Médio,1,Solteiro,Educação
55,22,2001-08-17,Espírito Santo,9137.8,Ensino Superior,0,Solteiro,Indústria
56,18,2005-12-28,Pernambuco,2788.97,Ensino Médio,1,Casado,Comércio
58,19,2004-09-22,São Paulo,2936.85,Ensino Médio,3,Casado,Indústria
60,21,2003-01-07,Roraima,2892.95,Ensino Fundamental,1,Casado,Educação
61,59,1964-10-26,Pará,17026.17,Ensino Superior,0,Casado,Tecnologia
62,22,2001-11-10,Goiás,5185.59,Ensino Médio,2,Solteiro,Comércio
63,57,1967-04-03,Rondônia,4204.97,Ensino Médio,3,Divorciado,Educação
64,53,1970-09-29,Bahia,8967.94,Ensino Médio,1,Casado,Comércio
65,23,2001-01-25,Pernambuco,8801.98,Ensino Superior,0,Casado,Tecnologia
66,88,1935-12-04,Amazonas,2813.73,Ensino Fundamental,2,Solteiro,Saúde
67,25,1998-08-10,Distrito Federal,4038.33,Ensino Médio,1,Casado,Comércio
68,88,1936-03-17,Goiás,4843.84,Ensino Superior,0,Solteiro,Tecnologia
69,18,2006-02-14,Acre,7335.02,Ensino Médio,0,Casado,Tecnologia
70,24,1999-07-24,Maranhão,5096.93,Ensino Médio,0,Solteiro,Educação
71,65,1958-06-03,Paraíba,13917.07,Ensino Médio,0,Viúvo,Indústria
72,18,2006-03-24,Distrito Federal,6734.71,Pós-graduação,2,Casado,Educação
73,19,2005-01-12,Sergipe,8549.4,Pós-graduação,4,Casado,Indústria
74,85,1939-01-04,Santa Catarina,13081.43,Ensino Médio,2,Casado,Indústria
75,59,1964-11-07,São Paulo,12474.65,Ensino Superior,0,Casado,Educação
76,34,1989-07-01,Piauí,7565.66,Pós-graduação,2,Solteiro,Tecnologia
