location,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia,Basileia
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration
unit,°C,mm,%,%,%,%,min
level,2 m elevation corrected,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basileia Temperature [2 m elevation corrected],Basileia Precipitation Total,Basileia Cloud Cover Total,Basileia Cloud Cover High [high cld lay],Basileia Cloud Cover Medium [mid cld lay],Basileia Cloud Cover Low [low cld lay],Basileia Sunshine Duration
20200101T0000,-1.4897546,0.0,1.0,0.0,0.0,1.0,0.0
20200101T0100,-1.7297546,0.0,8.0,0.0,0.0,8.0,0.0
20200101T0200,-2.0697546,0.0,8.0,0.0,0.0,8.0,0.0
20200101T0300,-2.3597546,0.0,3.0,0.0,0.0,3.0,0.0
20200101T0400,-2.5897546,0.0,4.0,0.0,0.0,4.0,0.0
20200101T0500,-2.6797547,0.0,4.0,0.0,0.0,4.0,0.0
20200101T0600,-2.3597546,0.0,1.0,0.0,0.0,1.0,0.0
20200101T0700,-1.8997546,0.0,29.0,0.0,0.0,29.0,0.0
20200101T0800,-1.9197546,0.0,3.0,0.0,0.0,3.0,41.68081
20200101T0900,-0.9697546,0.0,50.0,0.0,0.0,50.0,29.69697
20200101T1000,-0.5697546,0.0,63.0,0.0,0.0,63.0,21.818182
20200101T1100,0.14024541,0.0,21.0,0.0,0.0,21.0,47.272724
20200101T1200,0.7802454,0.0,7.0,0.0,0.0,7.0,55.757576
20200101T1300,1.1802454,0.0,3.0,0.0,0.0,3.0,58.18182
20200101T1400,1.2902454,0.0,4.0,0.0,0.0,4.0,57.575756
20200101T1500,1.6402454,0.0,3.0,0.0,0.0,3.0,58.18182
20200101T1600,-0.6897546,0.0,5.0,0.0,0.0,5.0,47.58552
20200101T1700,-1.5897547,0.0,2.0,0.0,0.0,2.0,0.0
20200101T1800,-1.5197545,0.0,3.0,0.0,0.0,3.0,0.0
20200101T1900,-1.4097546,0.0,2.0,0.0,0.0,2.0,0.0
20200101T2000,-1.7397546,0.0,1.0,0.0,0.0,1.0,0.0
20200101T2100,-1.9097546,0.0,1.0,0.0,0.0,1.0,0.0
20200101T2200,-1.6197547,0.0,12.0,0.0,0.0,12.0,0.0
20200101T2300,-1.4397546,0.0,7.0,0.0,0.0,7.0,0.0
20200102T0000,-1.3797545,0.0,11.0,0.0,0.0,11.0,0.0
20200102T0100,-1.5597545,0.0,7.0,0.0,0.0,7.0,0.0
20200102T0200,-1.6697546,0.0,12.0,0.0,0.0,12.0,0.0
20200102T0300,-1.7697545,0.0,8.0,0.0,0.0,8.0,0.0
20200102T0400,-1.5197545,0.0,10.0,0.0,0.0,10.0,0.0
20200102T0500,-1.3997546,0.0,16.0,0.0,0.0,16.0,0.0
20200102T0600,-1.4497546,0.0,13.0,0.0,0.0,13.0,0.0
20200102T0700,-1.4297546,0.0,9.0,0.0,0.0,9.0,0.0
20200102T0800,-1.2097546,0.0,9.0,0.0,0.0,9.0,39.21212
20200102T0900,-0.5897546,0.0,7.0,0.0,0.0,7.0,55.757576
20200102T1000,0.5402454,0.0,59.0,4.0,5.0,59.0,24.242424
20200102T1100,1.3902454,0.0,23.0,23.0,23.0,5.0,46.060608
20200102T1200,2.1202455,0.0,14.0,45.0,14.0,9.0,51.51515
20200102T1300,2.9802456,0.0,24.0,8.0,24.0,2.0,45.454544
20200102T1400,3.0002456,0.0,10.0,1.0,10.0,2.0,53.939396
20200102T1500,1.5702454,0.0,3.0,0.0,3.0,2.0,58.18182
